Name,MapDate,DSCI
High Plains,20051101,74
High Plains,20051108,73
High Plains,20051115,74
High Plains,20051122,74
High Plains,20051129,67
High Plains,20051206,71
High Plains,20051213,72
High Plains,20051220,73
High Plains,20051227,73
High Plains,20060103,74
High Plains,20060110,75
High Plains,20060117,83
High Plains,20060124,86
High Plains,20060131,98
High Plains,20060207,100
High Plains,20060214,102
High Plains,20060221,101
High Plains,20060228,107
High Plains,20060307,110
High Plains,20060314,114
High Plains,20060321,120
High Plains,20060328,119
High Plains,20060404,112
High Plains,20060411,109
High Plains,20060418,113
High Plains,20060425,116
High Plains,20060502,115
High Plains,20060509,112
High Plains,20060516,116
High Plains,20060523,128
High Plains,20060530,145
High Plains,20060606,155
High Plains,20060613,183
High Plains,20060620,183
High Plains,20060627,189
High Plains,20060704,199
High Plains,20060711,196
High Plains,20060718,239
High Plains,20060725,252
High Plains,20060801,265
High Plains,20060808,279
High Plains,20060815,274
High Plains,20060822,260
High Plains,20060829,241
High Plains,20060905,237
High Plains,20060912,233
High Plains,20060919,221
High Plains,20060926,199
High Plains,20061003,202
High Plains,20061010,195
High Plains,20061017,195
High Plains,20061024,195
High Plains,20061031,186
High Plains,20061107,188
High Plains,20061114,193
High Plains,20061121,193
High Plains,20061128,195
High Plains,20061205,199
High Plains,20061212,200
High Plains,20061219,199
High Plains,20061226,186
High Plains,20070102,174
High Plains,20070109,181
High Plains,20070116,177
High Plains,20070123,173
High Plains,20070130,173
High Plains,20070206,173
High Plains,20070213,173
High Plains,20070220,171
High Plains,20070227,152
High Plains,20070306,144
High Plains,20070313,144
High Plains,20070320,147
High Plains,20070327,149
High Plains,20070403,111
High Plains,20070410,111
High Plains,20070417,111
High Plains,20070424,102
High Plains,20070501,97
High Plains,20070508,80
High Plains,20070515,81
High Plains,20070522,78
High Plains,20070529,74
High Plains,20070605,69
High Plains,20070612,61
High Plains,20070619,60
High Plains,20070626,59
High Plains,20070703,66
High Plains,20070710,77
High Plains,20070717,84
High Plains,20070724,97
High Plains,20070731,106
High Plains,20070807,104
High Plains,20070814,102
High Plains,20070821,97
High Plains,20070828,82
High Plains,20070904,80
High Plains,20070911,79
High Plains,20070918,80
High Plains,20070925,77
High Plains,20071002,79
High Plains,20071009,79
High Plains,20071016,78
High Plains,20071023,77
High Plains,20071030,78
High Plains,20071106,82
High Plains,20071113,87
High Plains,20071120,88
High Plains,20071127,91
High Plains,20071204,98
High Plains,20071211,97
High Plains,20071218,95
High Plains,20071225,95
High Plains,20080101,95
High Plains,20080108,96
High Plains,20080115,98
High Plains,20080122,98
High Plains,20080129,101
High Plains,20080205,105
High Plains,20080212,104
High Plains,20080219,104
High Plains,20080226,104
High Plains,20080304,104
High Plains,20080311,106
High Plains,20080318,107
High Plains,20080325,106
High Plains,20080401,104
High Plains,20080408,105
High Plains,20080415,104
High Plains,20080422,106
High Plains,20080429,107
High Plains,20080506,98
High Plains,20080513,94
High Plains,20080520,104
High Plains,20080527,78
High Plains,20080603,76
High Plains,20080610,69
High Plains,20080617,66
High Plains,20080624,60
High Plains,20080701,60
High Plains,20080708,61
High Plains,20080715,71
High Plains,20080722,88
High Plains,20080729,91
High Plains,20080805,98
High Plains,20080812,88
High Plains,20080819,71
High Plains,20080826,75
High Plains,20080902,70
High Plains,20080909,65
High Plains,20080916,60
High Plains,20080923,58
High Plains,20080930,57
High Plains,20081007,56
High Plains,20081014,40
High Plains,20081021,39
High Plains,20081028,39
High Plains,20081104,39
High Plains,20081111,38
High Plains,20081118,40
High Plains,20081125,40
High Plains,20081202,46
High Plains,20081209,46
High Plains,20081216,47
High Plains,20081223,47
High Plains,20081230,43
High Plains,20090106,42
High Plains,20090113,41
High Plains,20090120,40
High Plains,20090127,42
High Plains,20090203,39
High Plains,20090210,38
